id;nif;nombre;apellidos;direcion;contacto;numero_cuenta
1;Card;transform;generating enterprise Surinam;Entrada virtual;medición Seguro Mejorado;Joyería
2;Fantástico Central Usabilidad;initiatives transmitter synthesize;digital;Queso;driver;Ringgit payment Rojo
3;Blanco Central indexing;navigate tangible;Rústico Cambridgeshire red;invoice;Negro East;Loan facilitate Pelota
4;calculating online;Pollo;Cambridgeshire deposit payment;Coche Account;bandwidth;synergize focus
5;Investment Atún Técnico;Director;Cine Chalet payment;Mesa Ensalada Loan;Ingeniero Seguridada Madera;Arquitecto vertical
6;Bicicleta bypassing;evolve;HTTP Administrador;paralelismo Granito;calculating card invoice;eyeballs Interacciones
7;capacitor Agente Trinidad;Account Cambridgeshire 24/7;interface Pequeño next-generation;bus;Intranet;Interno
8;Heredado;port Berkshire;Gorro Mejorado Inteligente;Manzana Bebes;digital;Aplicaciones
9;Mascotas vertical;AGP Sabroso;Metal Desarrollador Respuesta;seize;up;estructura front-end IB
10;withdrawal Azul compress;Sudán;real;array Hogar;generación;application Mesa iniciativa
