id;nif;nombre;apellidos;puesto;salario;contacto
1;overriding Account bandwidth;Artesanal;overriding;Pequeño;84593;Rioja functionalities
2;Verde connect;bypass Pre-emptivo Normas;Violeta neural;Kazajistan;81177;cutting-edge Aragón blockchains
3;Gris COM;XSS;Navarra;Descentralizado cutting-edge array;1212;Australian
4;Madera enhance demanda;firewall Integración;Bicicleta;partnerships;10336;Kiribati architect hacking
5;reboot Amarillo Account;hack;customized software Verde;redundant Gorro generate;44650;Avon
6;Agente Algodón dynamic;end-to-end;desafío;Compatible Sol;53772;Polígono
7;quantify;Granito Palladium;functionalities Chalet;Ronda Bedfordshire;91207;capa platforms
8;transmitting payment acceso;Diseñador;funcionalidad;RAM;26262;Account Producto
9;payment;synergize up;en;Administrador Humano;35391;payment Bebes
10;withdrawal Seychelles Optimizado;Acero;Torrente Queso;a;47680;deposit
